timestamp,dtemp,iin,gpi,vcap,vcap1,vcap2,vcap3,vcap4,vin,vout
13:04:45, 46.2 °C,   -2 mV, 3956 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:46, 46.2 °C,   -2 mV, 4142 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4968 mV, 4935 mV
13:04:47, 46.2 °C,   -2 mV, 4391 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:48, 46.2 °C,   -2 mV, 4031 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4968 mV, 4933 mV
13:04:49, 46.2 °C,   -2 mV, 4769 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4975 mV, 4931 mV
13:04:50, 46.2 °C,   -2 mV, 4155 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,   -0 mV, 4975 mV, 4931 mV
13:04:51, 46.2 °C,   -2 mV, 3982 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4935 mV
13:04:52, 46.2 °C,   -2 mV, 4254 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4931 mV
13:04:53, 46.2 °C,   -2 mV, 3651 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:04:54, 46.2 °C,   -2 mV, 4453 mV, 4568 mV, 2284 mV, 2280 mV,    0 mV,   -0 mV, 4970 mV, 4933 mV
13:04:55, 46.2 °C,   -2 mV, 3865 mV, 4567 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
13:04:56, 46.2 °C,   -2 mV, 4031 mV, 4565 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4972 mV, 4933 mV
13:04:57, 46.2 °C,   -2 mV, 3985 mV, 4568 mV, 2283 mV, 2280 mV,    0 mV,    0 mV, 4970 mV, 4931 mV
